epochs,w/o LSTM,LSTM (1 cell),LSTM (2 cells),LSTM (3 cells),LSTM (4 cells)
10,0.502361,0.705752,0.641406,0.649216,0.588691
20,0.537619,0.737651,0.706167,0.664549,0.6135
30,0.484589,0.738737,0.725483,0.672492,0.629457
40,0.517309,0.74626,0.733774,0.688253,0.635277
50,0.501643,0.76028,0.744895,0.712683,0.636905
60,0.509688,0.765099,0.755417,0.718729,0.641391
70,0.515494,0.769032,0.761437,0.724623,0.642593
80,0.543512,0.768329,0.768809,0.734632,0.64778
90,0.582787,0.773362,0.767827,0.734952,0.644995
100,0.644905,0.776362,0.768281,0.747237,0.643395
110,0.664397,0.776281,0.774482,0.748181,0.651785
120,0.66203,0.77708,0.775599,0.748891,0.653666
130,0.684725,0.782732,0.782686,0.753741,0.661047
140,0.669853,0.784279,0.775085,0.754215,0.664208
150,0.698601,0.775379,0.780555,0.762356,0.662419
160,0.701545,0.779806,0.78366,0.762429,0.676714
170,0.706863,0.787775,0.783498,0.764684,0.67505
180,0.712001,0.782733,0.778648,0.763183,0.70447
190,0.71315,0.732011,0.784201,0.773921,0.69971
200,0.71304,0.77614,0.787989,0.772859,0.713586
210,0.72179,0.780381,0.788555,0.773317,0.716063
220,0.720313,0.777166,0.786155,0.776367,0.713634
230,0.713382,0.782434,0.788601,0.77529,0.716236
240,0.722769,0.779184,0.784044,0.779119,0.710294
250,0.722567,0.771966,0.787022,0.776827,0.722993
260,0.729649,0.777453,0.784875,0.776307,0.731048
270,0.725602,0.772988,0.792127,0.777201,0.720302
280,0.714769,0.772542,0.788254,0.781812,0.731231
290,0.734065,0.775618,0.789312,0.777048,0.740139
300,0.727864,0.773682,0.785342,0.780225,0.745536
310,0.734333,0.771731,0.781903,0.774177,0.747599
320,0.726267,0.769033,0.788769,0.785809,0.742505
330,0.736364,0.772857,0.787437,0.778367,0.739417
340,0.734942,0.773897,0.784804,0.780642,0.750027
350,0.73557,0.769712,0.784472,0.783337,0.75167
360,0.729517,0.769344,0.779131,0.779938,0.750664
370,0.727189,0.765252,0.778423,0.776609,0.750722
380,0.74459,0.770791,0.783455,0.782832,0.749544
390,0.735822,0.764096,0.775897,0.78122,0.76017
400,0.738942,0.76196,0.770054,0.782969,0.757258
410,0.742728,0.765469,0.775509,0.778778,0.763814
420,0.744716,0.766665,0.781616,0.779096,0.763188
430,0.743928,0.769095,0.777856,0.774501,0.761762
440,0.738716,0.763391,0.775639,0.777648,0.761839
450,0.739339,0.768914,0.777594,0.770237,0.768684
460,0.750157,0.769868,0.77927,0.778975,0.764633
470,0.745843,0.762168,0.774682,0.773904,0.767782
480,0.74836,0.754337,0.77975,0.773116,0.777301
490,0.750074,0.753898,0.776123,0.778906,0.771913
500,0.751222,0.759139,0.770664,0.768858,0.772835
510,0.751477,0.758132,0.777018,0.776158,0.776394
520,0.750507,0.760642,0.772079,0.77913,0.776906
530,0.745836,0.76174,0.773494,0.772028,0.776737
540,0.757918,0.761115,0.772489,0.775016,0.77698
550,0.751573,0.751182,0.767616,0.770154,0.779262
560,0.757301,0.764944,0.76883,0.774382,0.783298
570,0.757055,0.764363,0.771068,0.760824,0.785297
580,0.759155,0.7582,0.776294,0.773286,0.784593
590,0.753697,0.752616,0.776423,0.773985,0.784387
600,0.753489,0.759325,0.775905,0.762579,0.775369
