epochs,"NO long, NO short (v24_5)","NO long, SI short (v24_4)","SI long, NO short (v22_4)","SI long, SI short (v22)"
10,0.502629,0.502361,0.575538,0.641406
20,0.505377,0.537619,0.589233,0.706167
30,0.500897,0.484589,0.591868,0.725483
40,0.502255,0.517309,0.601902,0.733774
50,0.513494,0.501643,0.621179,0.744895
60,0.508679,0.509688,0.633866,0.755417
70,0.507278,0.515494,0.636599,0.761437
80,0.513203,0.543512,0.650573,0.768809
90,0.511716,0.582787,0.653128,0.767827
100,0.513525,0.644905,0.658203,0.768281
110,0.5122,0.664397,0.663776,0.774482
120,0.507638,0.66203,0.6651,0.775599
130,0.513546,0.684725,0.672203,0.782686
140,0.519363,0.669853,0.669311,0.775085
150,0.509969,0.698601,0.66675,0.780555
160,0.506177,0.701545,0.673403,0.78366
170,0.514447,0.706863,0.6785,0.783498
180,0.511515,0.712001,0.671889,0.778648
190,0.509773,0.71315,0.671551,0.784201
200,0.514994,0.71304,0.673432,0.787989
210,0.510394,0.72179,0.676838,0.788555
220,0.522549,0.720313,0.672088,0.786155
230,0.511649,0.713382,0.675582,0.788601
240,0.513022,0.722769,0.673597,0.784044
250,0.528669,0.722567,0.67267,0.787022
260,0.534305,0.729649,0.678249,0.784875
270,0.53508,0.725602,0.676841,0.792127
280,0.546271,0.714769,0.6803,0.788254
290,0.550143,0.734065,0.679975,0.789312
300,0.552021,0.727864,0.687625,0.785342
310,0.578174,0.734333,0.680624,0.781903
320,0.588935,0.726267,0.668361,0.788769
330,0.606357,0.736364,0.681555,0.787437
340,0.611604,0.734942,0.672313,0.784804
350,0.620519,0.73557,0.555327,0.784472
360,0.63905,0.729517,0.608016,0.779131
370,0.646491,0.727189,0.642908,0.778423
380,0.655019,0.74459,0.65586,0.783455
390,0.661871,0.735822,0.663286,0.775897
400,0.665383,0.738942,0.669759,0.770054
,,,,
,0.665383,,,
